iter	Passed	Remaining
798	1312	330
799	1314	328
800	1315	326
801	1317	325
802	1318	323
803	1319	321
804	1321	320
805	1323	318
806	1324	316
807	1325	315
808	1327	313
809	1328	311
810	1330	309
811	1331	308
812	1332	306
813	1334	304
814	1335	303
815	1336	301
816	1338	299
817	1339	298
818	1341	296
819	1342	294
820	1343	292
821	1345	291
822	1346	289
823	1347	287
824	1349	286
825	1350	284
826	1352	282
827	1353	281
828	1355	279
829	1356	277
830	1358	276
831	1359	274
832	1360	272
833	1362	271
834	1363	269
835	1364	267
836	1366	266
837	1367	264
838	1368	262
839	1370	261
840	1371	259
841	1373	257
842	1374	255
843	1375	254
844	1377	252
845	1378	250
846	1379	249
847	1381	247
848	1382	245
849	1383	244
850	1385	242
851	1386	240
852	1388	239
853	1389	237
854	1390	235
855	1392	234
856	1393	232
857	1394	230
858	1396	229
859	1397	227
860	1398	225
861	1399	224
862	1401	222
863	1403	220
864	1404	219
865	1405	217
866	1407	215
867	1408	214
868	1409	212
869	1411	210
870	1412	209
871	1413	207
872	1414	205
873	1416	204
874	1418	202
875	1419	200
876	1420	199
877	1422	197
878	1423	195
879	1424	194
880	1426	192
881	1427	190
882	1428	189
883	1430	187
884	1431	186
885	1433	184
886	1435	182
887	1436	181
888	1437	179
889	1439	177
890	1440	176
891	1442	174
892	1443	172
893	1444	171
894	1445	169
895	1447	167
896	1448	166
897	1450	164
898	1451	163
899	1453	161
900	1454	159
901	1455	158
902	1457	156
903	1458	154
904	1460	153
905	1461	151
906	1462	149
907	1464	148
908	1465	146
909	1467	145
910	1468	143
911	1470	141
912	1471	140
913	1472	138
914	1473	136
915	1475	135
916	1476	133
917	1478	132
918	1479	130
919	1481	128
920	1482	127
921	1483	125
922	1485	123
923	1486	122
924	1488	120
925	1489	119
926	1491	117
927	1492	115
928	1493	114
929	1495	112
930	1496	110
931	1498	109
932	1499	107
933	1500	106
934	1501	104
935	1503	102
936	1504	101
937	1506	99
938	1507	97
939	1508	96
940	1510	94
941	1511	93
942	1513	91
943	1514	89
944	1515	88
945	1517	86
946	1518	84
947	1520	83
948	1521	81
949	1522	80
950	1523	78
951	1525	76
952	1526	75
953	1528	73
954	1529	72
955	1530	70
956	1532	68
957	1533	67
958	1534	65
959	1536	64
960	1537	62
961	1538	60
962	1540	59
963	1541	57
964	1542	55
965	1543	54
966	1545	52
967	1546	51
968	1547	49
969	1548	47
970	1549	46
971	1551	44
972	1552	43
973	1553	41
974	1554	39
975	1555	38
976	1556	36
977	1557	35
978	1558	33
979	1560	31
980	1561	30
981	1562	28
982	1563	27
983	1564	25
984	1565	23
985	1567	22
986	1568	20
987	1569	19
